match_id,date,venue,teams,match_type,toss_winner,toss_decision,winner,player_of_match
1199528,2019-10-24,Dubai International Cricket Stadium,"Bermuda, Scotland",T20,Bermuda,field,Scotland,CS MacLeod
1199529,2019-10-25,Dubai International Cricket Stadium,"Papua New Guinea, Singapore",T20,Singapore,field,Papua New Guinea,D Ravu
1199530,2019-10-25,Tolerance Oval,"Ireland, Jersey",T20,Ireland,field,Ireland,MR Adair
1199531,2019-10-25,Dubai International Cricket Stadium,"Kenya, Namibia",T20,Namibia,bat,Namibia,MG Erasmus
1199532,2019-10-25,Sheikh Zayed Stadium,"Canada, Oman",T20,Canada,bat,Oman,Jatinder Singh
1199533,2019-10-26,Sheikh Zayed Stadium,"Ireland, Nigeria",T20,Nigeria,bat,Ireland,CA Young
1199534,2019-10-26,Dubai International Cricket Stadium,"Bermuda, Netherlands",T20,Netherlands,bat,Netherlands,CN Ackermann
1199535,2019-10-26,Dubai International Cricket Stadium,"Namibia, Singapore",T20,Singapore,field,Namibia,MG Erasmus
1199536,2019-10-27,Dubai International Cricket Stadium,"Kenya, Papua New Guinea",T20,Kenya,field,Papua New Guinea,N Vanua
1199537,2019-10-27,Tolerance Oval,"Hong Kong, Nigeria",T20,Nigeria,bat,Hong Kong,Mohammad Ghazanfar
1199538,2019-10-27,Sheikh Zayed Stadium,"Jersey, Oman",T20,Oman,field,Jersey,
1199539,2019-10-27,Dubai International Cricket Stadium,"Netherlands, Scotland",T20,Netherlands,field,Netherlands,PM Seelaar
1199540,2019-10-27,Sheikh Zayed Stadium,"United Arab Emirates, Canada",T20,Canada,field,United Arab Emirates,Muhammad Usman
1199541,2019-10-29,Dubai International Cricket Stadium,"United Arab Emirates, Netherlands",T20,United Arab Emirates,bat,Netherlands,BD Glover
1199542,2019-10-29,Dubai International Cricket Stadium,"Namibia, Oman",T20,Namibia,bat,Namibia,JJ Smit
1199543,2019-10-30,Dubai International Cricket Stadium,"United Arab Emirates, Scotland",T20,Scotland,bat,Scotland,HG Munsey
1199544,2019-10-30,Dubai International Cricket Stadium,"Hong Kong, Oman",T20,Oman,bat,Oman,Jatinder Singh
1199545,2019-10-31,ICC Academy,"Oman, Scotland",T20,Oman,bat,Scotland,MH Cross
1199546,2019-11-01,Dubai International Cricket Stadium,"Ireland, Netherlands",T20,Ireland,field,Netherlands,RE van der Merwe
1199547,2019-11-01,Dubai International Cricket Stadium,"Namibia, Papua New Guinea",T20,Papua New Guinea,bat,Papua New Guinea,N Vanua
1199548,2019-11-02,Dubai International Cricket Stadium,"Ireland, Namibia",T20,Ireland,bat,Ireland,Simi Singh
1199549,2019-11-02,Dubai International Cricket Stadium,"Netherlands, Papua New Guinea",T20,Papua New Guinea,bat,Netherlands,BD Glover
1200425,2019-09-16,"The Village, Malahide","Netherlands, Scotland",T20,Netherlands,field,Scotland,HG Munsey
1200426,2019-09-17,"The Village, Malahide","Ireland, Scotland",T20,Scotland,bat,Ireland,A Balbirnie
1200427,2019-09-18,"The Village, Malahide","Ireland, Netherlands",T20,Ireland,bat,Netherlands,BN Cooper
1200428,2019-09-19,"The Village, Malahide","Netherlands, Scotland",T20,Netherlands,bat,Scotland,
1201668,2019-10-25,La Manga Club Bottom Ground,"Spain, Portugal",T20,Spain,field,Spain,
1201669,2019-10-26,La Manga Club Bottom Ground,"Gibraltar, Portugal",T20,Gibraltar,bat,Portugal,
1201670,2019-10-26,La Manga Club Bottom Ground,"Spain, Gibraltar",T20,Spain,field,Spain,
1201671,2019-10-26,La Manga Club Bottom Ground,"Spain, Portugal",T20,Portugal,field,Spain,
1201673,2019-10-27,La Manga Club Bottom Ground,"Spain, Gibraltar",T20,Spain,field,Spain,
1201680,2019-09-27,Indian Association Ground,"Nepal, Zimbabwe",T20,Nepal,bat,Zimbabwe,R Mutumbami
1201681,2019-09-28,Indian Association Ground,"Singapore, Nepal",T20,Singapore,bat,Nepal,P Khadka
1201682,2019-09-29,Indian Association Ground,"Singapore, Zimbabwe",T20,Singapore,bat,Singapore,SC Williams
1201683,2019-10-01,Indian Association Ground,"Nepal, Zimbabwe",T20,Nepal,field,Zimbabwe,SC Williams
1201685,2019-10-03,Indian Association Ground,"Singapore, Zimbabwe",T20,Zimbabwe,field,Zimbabwe,PJ Moor
1202007,2019-09-29,Kinrara Academy Oval,"Malaysia, Vanuatu",T20,Vanuatu,bat,Vanuatu,J Rasu
1202008,2019-10-01,Kinrara Academy Oval,"Malaysia, Vanuatu",T20,Vanuatu,bat,Vanuatu,PK Matautaava
1202009,2019-10-02,Kinrara Academy Oval,"Malaysia, Vanuatu",T20,Malaysia,bat,Malaysia,N Nipiko
1202010,2019-10-03,Kinrara Academy Oval,"Malaysia, Vanuatu",T20,Malaysia,bat,Vanuatu,J Rasu
1202011,2019-10-04,Kinrara Academy Oval,"Malaysia, Vanuatu",T20,Malaysia,bat,Malaysia,Syed Aziz
1202243,2020-01-07,Holkar Cricket Stadium,"India, Sri Lanka",T20,India,field,India,Navdeep Saini
1202244,2020-01-10,Maharashtra Cricket Association Stadium,"India, Sri Lanka",T20,Sri Lanka,field,India,SN Thakur
1202252,2019-11-09,"Darren Sammy National Cricket Stadium, St Lucia","West Indies, India",T20,West Indies,field,India,Shafali Verma
1202253,2019-11-10,"Darren Sammy National Cricket Stadium, St Lucia","West Indies, India",T20,West Indies,bat,India,DB Sharma
1202254,2019-11-14,"Providence Stadium, Guyana","West Indies, India",T20,West Indies,bat,India,JI Rodrigues
1202255,2019-11-17,"Providence Stadium, Guyana","West Indies, India",T20,West Indies,field,India,HK Matthews
1202256,2019-11-20,"Providence Stadium, Guyana","West Indies, India",T20,India,bat,India,V Krishnamurthy
1202366,2019-10-03,Lalabhai Contractor Stadium,"India, South Africa",T20,India,field,India,H Kaur
1203676,2020-01-15,"National Cricket Stadium, Grenada","West Indies, Ireland",T20,Ireland,bat,Ireland,PR Stirling
1203677,2020-01-18,"Warner Park, St Kitts","West Indies, Ireland",T20,West Indies,field,,
1203678,2020-01-19,"Warner Park, St Kitts","West Indies, Ireland",T20,West Indies,field,West Indies,LMP Simmons
1204726,2019-10-26,Gaddafi Stadium,"Pakistan, Bangladesh",T20,Pakistan,bat,Pakistan,Bismah Maroof
1207081,2020-03-08,Desert Springs Cricket Ground,"Spain, Germany",T20,Spain,field,Spain,
1207082,2020-03-08,Desert Springs Cricket Ground,"Spain, Germany",T20,Spain,field,Germany,
1208347,2019-12-17,Kinrara Academy Oval,"England, Pakistan",T20,Pakistan,field,England,AE Jones
1208348,2019-12-19,Kinrara Academy Oval,"England, Pakistan",T20,England,bat,England,AE Jones
1208349,2019-12-20,Kinrara Academy Oval,"England, Pakistan",T20,England,bat,England,HC Knight
1208606,2019-12-05,Tribhuvan University International Cricket Ground,"Nepal, Bhutan",T20,Bhutan,field,Nepal,G Malla
1208609,2019-12-06,Tribhuvan University International Cricket Ground,"Nepal, Maldives",T20,Nepal,bat,Nepal,Karan KC
1208612,2019-12-07,Tribhuvan University International Cricket Ground,"Bhutan, Maldives",T20,Maldives,field,Maldives,Ibrahim Hassan
1208613,2019-12-09,Tribhuvan University International Cricket Ground,"Nepal, Maldives",T20,Nepal,field,Nepal,LN Rajbanshi
1208804,2019-12-02,Pokhara Rangasala,"Nepal, Maldives",T20,Maldives,bat,Nepal,Anjali Chand
1208806,2019-12-04,Pokhara Rangasala,"Nepal, Bangladesh",T20,Bangladesh,field,Bangladesh,Rabeya Khan
1208808,2019-12-05,Pokhara Rangasala,"Bangladesh, Maldives",T20,Bangladesh,bat,Bangladesh,Nigar Sultana
1208810,2019-12-07,Pokhara Rangasala,"Nepal, Maldives",T20,Maldives,bat,Nepal,Anjali Chand
1213058,2020-01-24,Gaddafi Stadium,"Pakistan, Bangladesh",T20,Bangladesh,bat,Pakistan,Shoaib Malik
1213059,2020-01-25,Gaddafi Stadium,"Pakistan, Bangladesh",T20,Bangladesh,bat,Pakistan,Babar Azam
1213874,2020-03-04,Pallekele International Cricket Stadium,"Sri Lanka, West Indies",T20,West Indies,bat,West Indies,O Thomas
1213875,2020-03-06,Pallekele International Cricket Stadium,"Sri Lanka, West Indies",T20,West Indies,field,West Indies,AD Russell
1214670,2020-03-09,"Shere Bangla National Stadium, Mirpur","Bangladesh, Zimbabwe",T20,Zimbabwe,field,Bangladesh,Soumya Sarkar
1214671,2020-03-11,"Shere Bangla National Stadium, Mirpur","Bangladesh, Zimbabwe",T20,Bangladesh,field,Bangladesh,Liton Das
1214763,2020-02-04,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),"Oman, Germany",T20,Oman,field,Germany,CM Gough
1214764,2020-02-05,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),"Oman, Germany",T20,Oman,bat,Germany,AM Healey
1214765,2020-02-07,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),"Oman, Germany",T20,Germany,bat,Germany,JE Ronalds
1214766,2020-02-08,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),"Oman, Germany",T20,Germany,bat,Germany,ST Frohnmayer
1215136,2020-02-20,Kinrara Academy Oval,"Malaysia, Hong Kong",T20,Malaysia,bat,Malaysia,Khizar Hayat
1215137,2020-02-21,Kinrara Academy Oval,"Malaysia, Hong Kong",T20,Malaysia,bat,Malaysia,Virandeep Singh
1215138,2020-02-23,Kinrara Academy Oval,"Malaysia, Hong Kong",T20,Malaysia,bat,Malaysia,Ahmed Faiz
1215139,2020-02-24,Kinrara Academy Oval,"Malaysia, Hong Kong",T20,Malaysia,bat,Malaysia,Virandeep Singh
1215140,2020-02-26,Kinrara Academy Oval,"Malaysia, Hong Kong",T20,Hong Kong,bat,Malaysia,KD Shah
1215159,2020-02-25,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),"Oman, Maldives",T20,Oman,field,Oman,Khawar Ali
1215160,2020-02-25,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),"Saudi Arabia, United Arab Emirates",T20,United Arab Emirates,bat,United Arab Emirates,Chirag Suri
1215161,2020-02-25,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),"Bahrain, Qatar",T20,Qatar,bat,Bahrain,Sarfaraz Ali
1215162,2020-02-25,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),"Iran, Kuwait",T20,Kuwait,field,Kuwait,MNM Aslam
1215163,2020-02-26,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),"Kuwait, Bahrain",T20,Bahrain,field,Kuwait,R Sandaruwan
1215164,2020-02-26,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),"Qatar, United Arab Emirates",T20,United Arab Emirates,bat,United Arab Emirates,Junaid Siddique
1215165,2020-02-27,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),"Kuwait, United Arab Emirates",T20,Kuwait,field,United Arab Emirates,Sultan Ahmed
1217738,2020-02-29,Terdthai Cricket Ground,"Thailand, Singapore",T20,Thailand,field,Singapore,Sidhant Singh
1217740,2020-03-01,Terdthai Cricket Ground,"Hong Kong, Nepal",T20,Nepal,field,Hong Kong,Haroon Arshad
1217741,2020-03-01,Terdthai Cricket Ground,"Thailand, Malaysia",T20,Thailand,bat,Malaysia,Pavandeep Singh
1217742,2020-03-03,Terdthai Cricket Ground,"Malaysia, Singapore",T20,Singapore,bat,Singapore,
1217743,2020-03-03,Terdthai Cricket Ground,"Thailand, Hong Kong",T20,Thailand,bat,Hong Kong,
1217744,2020-03-04,Terdthai Cricket Ground,"Thailand, Nepal",T20,Thailand,bat,Nepal,Karan KC
1217745,2020-03-04,Terdthai Cricket Ground,"Hong Kong, Singapore",T20,Singapore,bat,Singapore,Manpreet Singh
1217747,2020-03-06,Terdthai Cricket Ground,"Hong Kong, Malaysia",T20,Malaysia,bat,Hong Kong,
1223941,2020-09-26,Allan Border Field,"Australia, New Zealand",T20,New Zealand,field,Australia,A Gardner
1223942,2020-09-27,Allan Border Field,"New Zealand, Australia",T20,New Zealand,bat,Australia,S Molineux
1223943,2020-09-30,Allan Border Field,"Australia, New Zealand",T20,New Zealand,field,New Zealand,AC Kerr
1223952,2020-12-04,Manuka Oval,"India, Australia",T20,Australia,field,India,YS Chahal
1223953,2020-12-06,Sydney Cricket Ground,"Australia, India",T20,India,field,India,HH Pandya
1223954,2020-12-08,Sydney Cricket Ground,"Australia, India",T20,India,field,Australia,MJ Swepson
1229204,2020-08-12,"Seebarn Cricket Centre, Lower Austria","Germany, Austria",T20,Austria,field,Germany,CM Gough
1229205,2020-08-13,Seebarn Cricket Centre,"Germany, Austria",T20,Germany,bat,Germany,JE Ronalds
1229206,2020-08-13,Seebarn Cricket Centre,"Austria, Germany",T20,Austria,bat,Germany,A Bierwisch
1229207,2020-08-14,Seebarn Cricket Centre,"Germany, Austria",T20,Germany,bat,Germany,CM Gough
1229208,2020-08-15,Seebarn Cricket Centre,"Germany, Austria",T20,Germany,bat,Germany,A Bierwisch
1229820,2020-08-29,Pierre Werner Cricket Ground,"Belgium, Luxembourg",T20,Belgium,bat,Belgium,
1229822,2020-08-30,Pierre Werner Cricket Ground,"Belgium, Czech Republic",T20,Belgium,bat,Belgium,
1229823,2020-08-30,Pierre Werner Cricket Ground,"Belgium, Luxembourg",T20,Belgium,bat,Belgium,
1229824,2020-08-21,College Field,"Isle of Man, Guernsey",T20,Isle of Man,bat,Guernsey,IDA Damarell
1230855,2020-09-21,County Ground,"England, West Indies",T20,England,bat,England,TT Beaumont
1230856,2020-09-23,County Ground,"England, West Indies",T20,West Indies,field,England,S Glenn
1230857,2020-09-26,County Ground,"England, West Indies",T20,England,bat,England,NR Sciver
1230858,2020-09-28,County Ground,"England, West Indies",T20,England,bat,England,AE Jones
1230859,2020-09-30,County Ground,"West Indies, England",T20,England,field,England,SS Connell
1233464,2020-11-07,Rawalpindi Cricket Stadium,"Zimbabwe, Pakistan",T20,Zimbabwe,bat,Pakistan,Babar Azam
