match_id,date,venue,teams,match_type,toss_winner,toss_decision,winner,player_of_match
403381,2009-09-12,R Premadasa Stadium,"Sri Lanka, India",ODI,Sri Lanka,bat,Sri Lanka,AD Mathews
403382,2009-09-11,R Premadasa Stadium,"India, New Zealand",ODI,New Zealand,bat,India,A Nehra
403383,2009-09-14,R Premadasa Stadium,"Sri Lanka, India",ODI,India,bat,India,SR Tendulkar
406192,2010-02-07,Melbourne Cricket Ground,"Australia, West Indies",ODI,West Indies,field,Australia,SR Watson
406193,2010-02-09,Adelaide Oval,"Australia, West Indies",ODI,West Indies,bat,Australia,DE Bollinger
406194,2010-02-12,Sydney Cricket Ground,"Australia, West Indies",ODI,West Indies,field,,
406195,2010-02-14,"Brisbane Cricket Ground, Woolloongabba","Australia, West Indies",ODI,West Indies,field,Australia,RT Ponting
406196,2010-02-19,Melbourne Cricket Ground,"Australia, West Indies",ODI,Australia,bat,Australia,JR Hopes
406202,2010-01-22,"Brisbane Cricket Ground, Woolloongabba","Australia, Pakistan",ODI,Pakistan,bat,Australia,CL White
406203,2010-01-24,Sydney Cricket Ground,"Australia, Pakistan",ODI,Pakistan,field,Australia,SR Watson
406204,2010-01-26,Adelaide Oval,"Australia, Pakistan",ODI,Australia,bat,Australia,RJ Harris
406205,2010-01-29,Western Australia Cricket Association Ground,"Australia, Pakistan",ODI,Australia,bat,Australia,RJ Harris
406206,2010-01-31,Western Australia Cricket Association Ground,"Australia, Pakistan",ODI,Pakistan,bat,Australia,CJ McKay
410337,2009-08-09,Queens Sports Club,"Zimbabwe, Bangladesh",ODI,Bangladesh,field,Bangladesh,Mohammad Ashraful
410338,2009-08-11,Queens Sports Club,"Zimbabwe, Bangladesh",ODI,Zimbabwe,field,Bangladesh,Shakib Al Hasan
410339,2009-08-14,Queens Sports Club,"Zimbabwe, Bangladesh",ODI,Bangladesh,field,Zimbabwe,E Chigumbura
410340,2009-08-16,Queens Sports Club,"Zimbabwe, Bangladesh",ODI,Zimbabwe,bat,Bangladesh,"CK Coventry, Tamim Iqbal"
410341,2009-08-18,Queens Sports Club,"Zimbabwe, Bangladesh",ODI,Zimbabwe,bat,Bangladesh,Dolar Mahmud
415162,2009-08-19,Maple Leaf North-West Ground,"Canada, Kenya",ODI,Canada,field,Canada,Khurram Chohan
415273,2009-09-22,SuperSport Park,"South Africa, Sri Lanka",ODI,South Africa,field,Sri Lanka,TM Dilshan
415274,2009-09-23,New Wanderers Stadium,"Pakistan, West Indies",ODI,West Indies,bat,Pakistan,Umar Akmal
415275,2009-09-24,SuperSport Park,"South Africa, New Zealand",ODI,South Africa,field,South Africa,WD Parnell
415276,2009-09-25,New Wanderers Stadium,"England, Sri Lanka",ODI,England,field,England,PD Collingwood
415277,2009-09-26,New Wanderers Stadium,"Australia, West Indies",ODI,West Indies,field,Australia,MG Johnson
415278,2009-09-26,SuperSport Park,"India, Pakistan",ODI,Pakistan,bat,Pakistan,Shoaib Malik
415279,2009-09-27,New Wanderers Stadium,"New Zealand, Sri Lanka",ODI,Sri Lanka,field,New Zealand,DL Vettori
415280,2009-09-27,SuperSport Park,"South Africa, England",ODI,England,bat,England,OA Shah
415281,2009-09-28,SuperSport Park,"Australia, India",ODI,Australia,bat,,
415282,2009-09-29,New Wanderers Stadium,"England, New Zealand",ODI,New Zealand,field,New Zealand,GD Elliott
415283,2009-09-30,SuperSport Park,"Australia, Pakistan",ODI,Australia,field,Australia,MEK Hussey
415284,2009-09-30,New Wanderers Stadium,"India, West Indies",ODI,India,field,India,V Kohli
415285,2009-10-02,SuperSport Park,"Australia, England",ODI,England,bat,Australia,SR Watson
415286,2009-10-03,New Wanderers Stadium,"New Zealand, Pakistan",ODI,Pakistan,bat,New Zealand,DL Vettori
415287,2009-10-05,SuperSport Park,"Australia, New Zealand",ODI,New Zealand,bat,Australia,SR Watson
416236,2009-10-25,Reliance Stadium,"India, Australia",ODI,Australia,bat,Australia,MEK Hussey
416237,2009-10-28,"Vidarbha Cricket Association Stadium, Jamtha","India, Australia",ODI,Australia,field,India,MS Dhoni
416238,2009-10-31,Feroz Shah Kotla,"India, Australia",ODI,Australia,bat,India,Yuvraj Singh
416239,2009-11-02,"Punjab Cricket Association Stadium, Mohali","India, Australia",ODI,India,field,Australia,SR Watson
416240,2009-11-05,"Rajiv Gandhi International Stadium, Uppal","India, Australia",ODI,Australia,bat,Australia,SR Tendulkar
416241,2009-11-08,Nehru Stadium,"India, Australia",ODI,India,bat,Australia,DE Bollinger
422626,2009-10-27,Shere Bangla National Stadium,"Bangladesh, Zimbabwe",ODI,Zimbabwe,field,Zimbabwe,E Chigumbura
422627,2009-10-29,Shere Bangla National Stadium,"Bangladesh, Zimbabwe",ODI,Zimbabwe,bat,Bangladesh,Abdur Razzak
422628,2009-10-31,Shere Bangla National Stadium,"Bangladesh, Zimbabwe",ODI,Bangladesh,field,Bangladesh,Tamim Iqbal
422629,2009-11-03,Zohur Ahmed Chowdhury Stadium,"Bangladesh, Zimbabwe",ODI,Zimbabwe,bat,Bangladesh,Nazmul Hossain
422630,2009-11-05,Zohur Ahmed Chowdhury Stadium,"Bangladesh, Zimbabwe",ODI,Bangladesh,field,Bangladesh,Naeem Islam
423387,2009-10-21,Boland Bank Park,"South Africa, West Indies",ODI,South Africa,field,South Africa,C Brits
423783,2010-02-05,McLean Park,"New Zealand, Bangladesh",ODI,New Zealand,bat,New Zealand,JDP Oram
423784,2010-02-08,University Oval,"New Zealand, Bangladesh",ODI,New Zealand,field,New Zealand,LRPL Taylor
423785,2010-02-11,AMI Stadium,"New Zealand, Bangladesh",ODI,New Zealand,field,New Zealand,MJ Guptill
423791,2010-03-03,McLean Park,"New Zealand, Australia",ODI,Australia,bat,New Zealand,LRPL Taylor
423792,2010-03-06,Eden Park,"New Zealand, Australia",ODI,Australia,bat,Australia,DL Vettori
423793,2010-03-09,Seddon Park,"New Zealand, Australia",ODI,Australia,field,Australia,BJ Haddin
423794,2010-03-11,Eden Park,"New Zealand, Australia",ODI,Australia,field,Australia,CL White
423795,2010-03-13,Westpac Stadium,"New Zealand, Australia",ODI,Australia,field,New Zealand,TG Southee
426384,2010-06-17,Clontarf Cricket Club Ground,"Ireland, Australia",ODI,Australia,bat,Australia,JR Hopes
426387,2010-06-22,The Rose Bowl,"England, Australia",ODI,Australia,bat,England,EJG Morgan
426388,2010-06-24,Sophia Gardens,"England, Australia",ODI,Australia,bat,England,SCJ Broad
426389,2010-06-27,Old Trafford,"England, Australia",ODI,England,field,England,GP Swann
426390,2010-06-30,Kennington Oval,"England, Australia",ODI,England,field,Australia,RJ Harris
426391,2010-07-03,Lord's,"England, Australia",ODI,Australia,bat,Australia,SW Tait
426403,2010-07-08,Trent Bridge,"England, Bangladesh",ODI,Bangladesh,bat,England,IR Bell
426404,2010-07-10,County Ground,"England, Bangladesh",ODI,England,field,Bangladesh,Mashrafe Mortaza
426405,2010-07-12,Edgbaston,"England, Bangladesh",ODI,Bangladesh,field,England,AJ Strauss
426420,2010-02-28,Shere Bangla National Stadium,"Bangladesh, England",ODI,England,field,England,Tamim Iqbal
426421,2010-03-02,Shere Bangla National Stadium,"Bangladesh, England",ODI,England,field,England,EJG Morgan
426422,2010-03-05,Zohur Ahmed Chowdhury Stadium,"Bangladesh, England",ODI,Bangladesh,field,England,C Kieswetter
426428,2010-09-10,Riverside Ground,"England, Pakistan",ODI,Pakistan,field,England,SM Davies
426429,2010-09-12,Headingley,"England, Pakistan",ODI,Pakistan,bat,England,AJ Strauss
426430,2010-09-17,Kennington Oval,"England, Pakistan",ODI,Pakistan,bat,Pakistan,Umar Gul
426431,2010-09-20,Lord's,"England, Pakistan",ODI,Pakistan,bat,Pakistan,Abdul Razzaq
426432,2010-09-22,The Rose Bowl,"England, Pakistan",ODI,England,bat,England,EJG Morgan
426720,2009-11-03,Sheikh Zayed Stadium,"New Zealand, Pakistan",ODI,Pakistan,bat,Pakistan,Shahid Afridi
426721,2009-11-06,Sheikh Zayed Stadium,"New Zealand, Pakistan",ODI,New Zealand,bat,New Zealand,BB McCullum
426722,2009-11-09,Sheikh Zayed Stadium,"New Zealand, Pakistan",ODI,New Zealand,bat,New Zealand,Mohammad Amir
430508,2009-11-08,Willowmoore Park,"South Africa, Zimbabwe",ODI,Zimbabwe,field,South Africa,T Taibu
430509,2009-11-10,SuperSport Park,"South Africa, Zimbabwe",ODI,Zimbabwe,field,South Africa,JP Duminy
430886,2009-12-15,Madhavrao Scindia Cricket Ground,"India, Sri Lanka",ODI,Sri Lanka,field,India,V Sehwag
430887,2009-12-18,"Vidarbha Cricket Association Stadium, Jamtha","India, Sri Lanka",ODI,India,bat,Sri Lanka,TM Dilshan
430888,2009-12-21,Barabati Stadium,"India, Sri Lanka",ODI,Sri Lanka,bat,India,RA Jadeja
430889,2009-12-24,Eden Gardens,"India, Sri Lanka",ODI,Sri Lanka,bat,India,G Gambhir
430890,2009-12-27,Feroz Shah Kotla,"India, Sri Lanka",ODI,India,field,,
433558,2011-02-19,Shere Bangla National Stadium,"Bangladesh, India",ODI,Bangladesh,field,India,V Sehwag
433559,2011-02-20,"MA Chidambaram Stadium, Chepauk","Kenya, New Zealand",ODI,Kenya,bat,New Zealand,HK Bennett
433560,2011-02-20,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa","Sri Lanka, Canada",ODI,Sri Lanka,bat,Sri Lanka,DPMD Jayawardene
433561,2011-02-21,"Sardar Patel Stadium, Motera","Australia, Zimbabwe",ODI,Australia,bat,Australia,SR Watson
433562,2011-02-22,"Vidarbha Cricket Association Stadium, Jamtha","England, Netherlands",ODI,Netherlands,bat,England,RN ten Doeschate
433563,2011-02-23,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa","Kenya, Pakistan",ODI,Pakistan,bat,Pakistan,Umar Akmal
433564,2011-02-24,Feroz Shah Kotla,"South Africa, West Indies",ODI,South Africa,field,South Africa,AB de Villiers
433565,2011-02-25,"Vidarbha Cricket Association Stadium, Jamtha","Australia, New Zealand",ODI,Australia,field,Australia,MG Johnson
433566,2011-02-25,Shere Bangla National Stadium,"Bangladesh, Ireland",ODI,Bangladesh,bat,Bangladesh,Tamim Iqbal
433567,2011-02-26,R Premadasa Stadium,"Sri Lanka, Pakistan",ODI,Pakistan,bat,Pakistan,Shahid Afridi
433568,2011-02-27,M Chinnaswamy Stadium,"India, England",ODI,India,bat,,AJ Strauss
433569,2011-02-28,Feroz Shah Kotla,"Netherlands, West Indies",ODI,Netherlands,field,West Indies,KAJ Roach
433570,2011-02-28,"Vidarbha Cricket Association Stadium, Jamtha","Canada, Zimbabwe",ODI,Zimbabwe,bat,Zimbabwe,T Taibu
433571,2011-03-01,R Premadasa Stadium,"Sri Lanka, Kenya",ODI,Kenya,bat,Sri Lanka,SL Malinga
433572,2011-03-02,M Chinnaswamy Stadium,"England, Ireland",ODI,England,bat,Ireland,KJ O'Brien
433573,2011-03-03,"Punjab Cricket Association Stadium, Mohali","Netherlands, South Africa",ODI,Netherlands,field,South Africa,AB de Villiers
433574,2011-03-03,R Premadasa Stadium,"Canada, Pakistan",ODI,Pakistan,bat,Pakistan,Shahid Afridi
433575,2011-03-04,"Sardar Patel Stadium, Motera","New Zealand, Zimbabwe",ODI,Zimbabwe,bat,New Zealand,MJ Guptill
433576,2011-03-04,Shere Bangla National Stadium,"Bangladesh, West Indies",ODI,Bangladesh,bat,West Indies,KAJ Roach
433577,2011-03-05,R Premadasa Stadium,"Sri Lanka, Australia",ODI,Sri Lanka,bat,,
433578,2011-03-06,M Chinnaswamy Stadium,"India, Ireland",ODI,India,field,India,Yuvraj Singh
433579,2011-03-06,"MA Chidambaram Stadium, Chepauk","England, South Africa",ODI,England,bat,England,RS Bopara
433580,2011-03-07,Feroz Shah Kotla,"Canada, Kenya",ODI,Kenya,bat,Canada,H Osinde
433581,2011-03-08,Pallekele International Cricket Stadium,"New Zealand, Pakistan",ODI,New Zealand,bat,New Zealand,LRPL Taylor
433582,2011-03-09,Feroz Shah Kotla,"India, Netherlands",ODI,Netherlands,bat,India,Yuvraj Singh
433583,2011-03-10,Pallekele International Cricket Stadium,"Sri Lanka, Zimbabwe",ODI,Zimbabwe,field,Sri Lanka,TM Dilshan
433584,2011-03-11,"Punjab Cricket Association Stadium, Mohali","Ireland, West Indies",ODI,Ireland,field,West Indies,KA Pollard
433585,2011-03-11,Zahur Ahmed Chowdhury Stadium,"Bangladesh, England",ODI,Bangladesh,field,Bangladesh,Imrul Kayes
433586,2011-03-12,"Vidarbha Cricket Association Stadium, Jamtha","India, South Africa",ODI,India,bat,South Africa,DW Steyn
433587,2011-03-13,Wankhede Stadium,"Canada, New Zealand",ODI,Canada,field,New Zealand,BB McCullum
433588,2011-03-13,M Chinnaswamy Stadium,"Australia, Kenya",ODI,Australia,bat,Australia,CO Obuya
433589,2011-03-14,Pallekele International Cricket Stadium,"Pakistan, Zimbabwe",ODI,Zimbabwe,bat,Pakistan,Umar Gul
433590,2011-03-14,Zahur Ahmed Chowdhury Stadium,"Bangladesh, Netherlands",ODI,Netherlands,bat,Bangladesh,Imrul Kayes
433591,2011-03-15,Eden Gardens,"Ireland, South Africa",ODI,Ireland,field,South Africa,JP Duminy
433592,2011-03-16,M Chinnaswamy Stadium,"Australia, Canada",ODI,Canada,bat,Australia,SR Watson
433593,2011-03-17,"MA Chidambaram Stadium, Chepauk","England, West Indies",ODI,England,bat,England,JC Tredwell
433594,2011-03-18,Wankhede Stadium,"New Zealand, Sri Lanka",ODI,Sri Lanka,bat,Sri Lanka,KC Sangakkara
433595,2011-03-18,Eden Gardens,"Ireland, Netherlands",ODI,Ireland,field,Ireland,PR Stirling
433596,2011-03-19,R Premadasa Stadium,"Australia, Pakistan",ODI,Australia,bat,Pakistan,Umar Akmal
433597,2011-03-19,Shere Bangla National Stadium,"Bangladesh, South Africa",ODI,South Africa,bat,South Africa,LL Tsotsobe
433598,2011-03-20,Eden Gardens,"Kenya, Zimbabwe",ODI,Zimbabwe,bat,Zimbabwe,CR Ervine
433599,2011-03-20,"MA Chidambaram Stadium, Chepauk","India, West Indies",ODI,India,bat,India,Yuvraj Singh
433600,2011-03-23,Shere Bangla National Stadium,"Pakistan, West Indies",ODI,West Indies,bat,Pakistan,Mohammad Hafeez
433601,2011-03-24,"Sardar Patel Stadium, Motera","India, Australia",ODI,Australia,bat,India,Yuvraj Singh
433602,2011-03-25,Shere Bangla National Stadium,"New Zealand, South Africa",ODI,New Zealand,bat,New Zealand,JDP Oram
433603,2011-03-26,R Premadasa Stadium,"Sri Lanka, England",ODI,England,bat,Sri Lanka,TM Dilshan
433604,2011-03-29,R Premadasa Stadium,"Sri Lanka, New Zealand",ODI,New Zealand,bat,Sri Lanka,KC Sangakkara
